,,MAPE (%),RMSE,MAE,R²
weekly,ARIMA,30.934420200580306,81398.49708793762,79307.20010268263,-0.913641579061407
weekly,Prophet,20.133920536597568,59144.1802259218,36660.24888118942,-0.010303503892324928
weekly,Ensemble,25.35245540250115,63039.669430307695,57476.88298245888,-0.14777214369029879
daily,ARIMA,241.68997295083864,25066.77390048826,23909.043010182442,-15.268115159658297
daily,Prophet,211.61698735768374,21941.721387913065,21043.168105762215,-11.46469748822732
daily,Ensemble,226.65348015426113,23502.607916926867,22476.10555797233,-13.301199385236698
